Country,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,2016   Inflation consumer prices (annual %),Average Inflation 2010 - 2016,Human Development Index (HDI) ,Life expectancy at birth,Expected schooling ,Mean schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,# of Resolved Conflict Peace Agreements,AverageTemp,MedianTemp,RangeTemp,HighTemp,LowTemp
Kenya,122.0000,4.3560,4.2590,4.4530,6.2975,7.5482,0.5550,62.2000,11.1000,6.3000,2881.0000,10.0000,14.0000,24.9353,24.9090,3.4600,26.7930,23.3330
Kuwait,41.0000,6.2390,6.1540,6.3240,3.1984,3.5261,0.8000,74.5000,13.3000,7.3000,76075.0000,-48.0000,1.0000,27.2734,27.8570,23.7950,38.2340,14.4390
Kyrgyzstan,85.0000,5.1850,5.1030,5.2670,0.4217,6.8881,0.6640,70.8000,13.0000,10.8000,3097.0000,32.0000,1.0000,6.2631,8.6230,27.8750,17.2020,-10.6730
Laos,102.0000,4.8760,4.7420,5.0100,1.5094,4.4431,0.5860,66.6000,10.8000,5.2000,5049.0000,-2.0000,0.0000,25.3853,26.6950,7.5340,27.5390,20.0050
Latvia,68.0000,5.5600,5.4860,5.6340,0.1341,0.9266,0.8300,74.3000,16.0000,11.7000,22589.0000,7.0000,0.0000,7.3224,9.6765,25.3050,18.4270,-6.8780
Lebanon,93.0000,5.1290,5.0310,5.2270,-0.8148,2.4679,0.7630,79.5000,13.3000,8.6000,13312.0000,8.0000,6.0000,19.1783,19.4820,16.8370,26.9560,10.1190
Liberia,150.0000,3.6220,3.4630,3.7810,8.8340,8.0900,0.4270,61.2000,9.9000,4.4000,683.0000,13.0000,30.0000,26.3140,26.6455,2.9880,27.6930,24.7050
Libya,67.0000,5.6150,5.4060,5.8240,6.7460,6.7460,0.7160,71.8000,13.4000,7.3000,14303.0000,-25.0000,6.0000,24.3140,26.7090,17.0820,30.5530,13.4710
Lithuania,60.0000,5.8130,5.7340,5.8920,0.9055,1.3874,0.8480,73.5000,16.5000,12.7000,26006.0000,7.0000,0.0000,7.8040,10.3370,24.6060,18.3690,-6.2370
Luxembourg,20.0000,6.8710,6.8040,6.9380,0.2992,1.6407,0.8980,81.9000,13.9000,12.0000,62471.0000,-12.0000,0.0000,9.9003,10.1490,20.0580,20.4220,0.3640
Madagascar,148.0000,3.6950,3.6210,3.7690,6.6548,7.2014,0.5120,65.5000,10.3000,6.1000,1320.0000,25.0000,8.0000,22.9595,23.2440,6.3400,25.8740,19.5340
Malawi,132.0000,4.1560,4.0410,4.2710,21.7072,18.7082,0.4760,63.9000,10.8000,4.4000,1073.0000,16.0000,0.0000,21.2694,21.1260,5.5070,23.7550,18.2480
Malaysia,47.0000,6.0050,5.9210,6.0890,2.1277,2.2912,0.7890,74.9000,13.1000,10.1000,24620.0000,-13.0000,0.0000,26.9735,26.9930,1.3060,27.6140,26.3080
Mali,135.0000,4.0730,3.9880,4.1580,-1.8004,1.3308,0.4420,58.5000,8.4000,2.3000,2218.0000,-9.0000,0.0000,29.9420,31.1070,13.1020,34.5870,21.4850
Malta,30.0000,6.4880,6.4090,6.5670,0.5771,1.4314,0.8560,80.7000,14.6000,11.3000,29500.0000,3.0000,0.0000,19.4374,18.7655,15.1550,27.5190,12.3640
Mauritania,130.0000,4.2010,4.1270,4.2750,1.4860,3.7853,0.5130,63.2000,8.5000,4.3000,3527.0000,-12.0000,0.0000,29.1100,30.9495,14.2690,34.2820,20.0130
Mauritius,66.0000,5.6480,5.5070,5.7890,1.0239,3.1926,0.7810,74.6000,15.2000,9.1000,17948.0000,1.0000,0.0000,24.3124,24.4515,5.5460,27.0140,21.4680
Mexico,21.0000,6.7780,6.6800,6.8760,2.8217,3.5776,0.7620,77.0000,13.3000,8.6000,16383.0000,-9.0000,0.0000,22.2192,24.1130,10.9260,26.2250,15.2990
Moldova,55.0000,5.8970,5.8230,5.9710,6.3841,6.4851,0.6990,71.7000,11.8000,11.9000,5026.0000,31.0000,0.0000,11.9605,15.1555,24.6140,22.0060,-2.6080
Montenegro,88.0000,5.1610,5.0550,5.2670,0.5540,8.9397,0.8070,76.4000,15.1000,11.3000,15410.0000,24.0000,0.0000,12.8704,14.2610,21.7040,23.0350,1.3310
Morocco,90.0000,5.1510,5.0580,5.2440,1.6353,1.2435,0.6470,74.3000,12.1000,5.0000,7195.0000,-4.0000,11.0000,19.3053,18.6750,17.0470,27.8360,10.7890
Namibia,113.0000,4.5740,4.3740,4.7740,6.7120,5.3816,0.6400,65.1000,11.7000,6.7000,9770.0000,-18.0000,4.0000,21.2659,20.5890,10.5290,26.6470,16.1180
Nepal,107.0000,4.7930,4.6980,4.8880,8.7903,8.8743,0.5580,70.0000,12.2000,4.1000,2337.0000,19.0000,51.0000,15.9513,18.7920,16.7470,21.3750,4.6280
Netherlands,7.0000,7.3390,7.2840,7.3940,0.3167,1.4960,0.9240,81.7000,18.1000,11.9000,46326.0000,8.0000,0.0000,9.8565,9.8185,16.9830,18.9750,1.9920
New Zealand,8.0000,7.3340,7.2640,7.4040,1.0829,1.6064,0.9150,82.0000,19.2000,12.5000,32870.0000,20.0000,0.0000,11.0885,10.6425,9.1600,15.6230,6.4630
Nicaragua,48.0000,5.9920,5.8770,6.1070,3.5199,5.9173,0.6450,75.2000,11.7000,6.5000,4747.0000,16.0000,8.0000,26.8716,26.8340,2.4160,28.1010,25.6850
