Country,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,"2016   Inflation, consumer prices (annual %)",Average Inflation 2010 - 2016,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,# of Resolved Conflict Peace Agreements,AverageTemp,MedianTemp,RangeTemp,HighTemp,LowTemp
Singapore,22,6.739,6.674,6.804,-0.502512563,2.138235365,0.925,83.2,15.4,11.6,"78,162",-3,0,27.602875,27.627,2.099,28.662,26.563
Slovakia,45,6.078,5.996,6.16,-0.520010196,1.280212164,0.845,76.4,15,12.2,"26,764",1,0,9.685625,11.637,21.965,19.631,-2.334
Slovenia,63,5.768,5.683,5.853,-0.056665722,1.090782452,0.89,80.6,17.3,12.1,"28,664",13,187,11.74475,12.899,21.851,22.381,0.53
South Africa,116,4.459,4.371,4.547,6.3262638,5.377819808,0.666,57.7,13,10.3,"12,087",-30,16,17.325375,16.135,11.616,23.637,12.021
South Korea,57,5.835,5.747,5.923,0.97,1.915055493,0.901,82.1,16.6,12.2,"34,541",12,4,13.7605,14.1655,29.55,27.601,-1.949
Spain,37,6.361,6.288,6.434,-0.202671741,1.142367263,0.884,82.8,17.7,9.8,"32,779",7,3,14.858875,13.196,17.555,24.543,6.988
Sri Lanka,117,4.415,4.322,4.508,3.987896656,5.196701912,0.766,75,14,10.9,"10,789",21,25,28.175125,28.3585,3.099,29.413,26.314
Sudan,133,4.139,3.928,4.35,17.75032648,24.89705268,0.49,63.7,7.2,3.5,"3,846",-22,101,28.572,29.081,7.558,31.525,23.967
Suriname,40,6.269,6.073,6.465,52.33561798,13.45712714,0.725,71.3,12.7,8.3,"16,018",-27,0,26.95725,26.961,1.044,27.511,26.467
Sweden,10,7.291,7.227,7.355,0.984269245,0.817295615,0.913,82.3,16.1,12.3,"46,251",2,0,4.19975,5.784,23.073,15.262,-7.811
